dv7746142305066000715	2355
dv5159430209187992175	588
dv7444498356299144331	1741
dv8094338197042082776	4731
dv5552623645197685302	582
dv9114211940343188133	6414
dv877632760559684490	26381
dv2605362196799761969	10280
dv7827075833207987492	9179
dv2035399064842535971	2888
dv5068856532275787761	1152
dv4203133378518727930	627
dv7612315113340714197	561
dv8754773881288795942	1671
dv8950313927107961883	603
dv9005113876976609961	581
dv3079516752415702656	595
dv8655535868742029498	1199
dv1759195803301542550	6962
dv4712432729847771248	1150
dv583379614392657192	4598
dv5256763604783587047	41839
dv8900737228392628125	609
dv8189984075835442526	1146
dv3494337477283023003	3476
dv322545114802991557	604
dv7719139850906528032	601
dv3231239118528477271	572
dv4346288099674541452	1223
dv2008461479387084916	3565
dv1651184649741948311	44548
dv1059376609993977200	2320
dv1294554938436655629	589
dv5752461900020169682	1141
dv1384323061906052000	600
dv3303048637644093262	1679
dv8325639514086435938	21822
dv6348217759810953213	2307
dv3225752463347225401	569
dv381240846098270140	1716
dv5575534322068858586	552
dv4835898998739094625	2300
dv2282980144759417344	1677
dv4454727975772578377	572
dv8035384748993080922	582
dv7614623676049446543	3424
dv2847220623984610125	575
dv2396743902005633251	1172
dv2822098106647088794	1806
dv1565323844983993456	10425
dv8452103580451948926	610
dv7148921256124019827	1176
dv7457389072892575492	1130
dv3995467177588848930	544
dv4309113938355570530	2945
dv1449606896437574926	569
dv4080733677526352348	1155
dv2246231209401611334	1119
dv8379941460051691270	604
dv2045551813912436729	2457
dv5560281049196368633	7542
dv4105802780114411640	578
dv990999900209137424	577
dv4503923707998272198	1152
dv656642232995407344	1182
dv8541394331905115800	584
dv8264750432459437367	578
dv7586389502319314401	1713
dv6543675439250952913	295
dv1260039109635344422	23243
dv1436442005657692103	567
dv1835368015515699403	572
dv2762148734149805369	605
dv5121806483572201681	563
dv3499060519704555624	552
dv7148391104389222780	548
dv3242936446692771225	1144
dv7047889914434128663	22836
dv3412892698196134220	1665
dv7853060622596306863	1749
dv9053114689089029246	2328
dv4804807886578966490	560
dv1119598413422874070	561
dv6110417753412499828	578
dv6334610082632351812	2885
dv2461465228848183238	6565
dv7347201662058385559	4052
dv3673073273970399615	69372
dv2375206878894480428	1756
dv3770541176970227838	1780
dv4523711307907601023	2957
dv547039113417956322	7764
dv5583350601055330032	18680
dv1135165299905352891	576
dv4950748436885796800	561
dv9001389023990473417	1701
dv8364103058253715740	2862
dv997045961218668821	545
dv9062321539582744198	1128
dv5951683948999897074	1135
dv4715226236570010179	572
dv8636110540942803024	554
dv8053742834602067623	4092
dv9079187997346804008	631
dv1280762639661941495	5112
dv3277911317530515219	1081
dv2044520919950902041	614
dv590920867583885340	11395
dv7495961862837815717	2870
dv2544566506345266563	610
dv764945183001776316	26275
dv5853815978114340346	637
dv7335595238998064836	1779
dv9008629226061917599	561
dv5532384610299967717	1183
dv6817239710310353566	575
dv7558501126149965622	556
dv9100387899832464858	1117
dv333419024254297218	565
dv4514369709462997228	622
dv4438064917301677758	1799
dv183945979175757394	616
dv8592379843207759332	587
dv1023867720769016793	585
dv3463036355098316130	303
dv1602557714519346021	609
dv8496959439635229768	4691
dv6424311043059251178	20364
dv2095449351153879401	553
dv289235143380763411	2949
dv8855674862235744729	588
dv7189857542182093948	566
dv7639831849039298143	605
dv9107997701990769893	562
dv6500209340328463276	541
dv1805911247387111851	600
dv322870757594766235	2385
dv8961534478310872391	541
dv5034118488800614031	1666
dv3352716703243457080	586
dv1570249508856747869	591
dv6031397467026763445	3521
dv8690348918869499063	14337
dv8784968585743610250	1725
dv8756408702102352196	577
dv5758532959388728396	1717
dv6869965816720910367	1130
dv1420794995691075933	4177
dv5318373310200069283	1771
dv2646687206796976066	1665
dv5271247633695641885	593
dv4210711365128145699	592
dv6526867438399332580	1203
dv7589888643233691432	557
dv4302435467898090877	581
dv1762893940816873254	2387
dv1677583360003334608	1184
dv6372533713417997178	585
dv6286605141367967148	545
dv1087639001467041034	1732
dv8478420068436023448	577
dv973329397154877448	642
dv632241724604947748	585
dv5489046562799092066	852
dv7033125125747264295	557
dv2331230897845459978	28451
