gm6835585185085013584	46263.030000
gm5843006499308961987	15846.450000
gm4487322905051820370	15293.920000
gm5540673041843326892	62068.720000
gm5382057547711163727	15974.000000
gm245788456450209895	46001.760000
gm5767203714291343560	14510.320000
gm4916012091714673819	16767.840000
gm7968596666354399154	61096.370000
gm5148149468887288008	14595.080000
gm1582087327569656238	15072.440000
gm9102707659549679391	15282.860000
gm4734367805807358422	14976.890000
gm2776161240402867565	15069.700000
gm4136109547221533324	17097.200000
gm3794365031482722235	15723.800000
gm927945150806239962	15819.210000
gm5826780374054616610	14442.160000
gm740560793744368203	17789.920000
gm2036000860430025863	32370.320000
gm5479339608567607572	14872.420000
gm5258598600413973840	31887.740000
gm6809066815678326401	16586.740000
gm1985799046286558748	15484.840000
gm6967565984613867390	16033.720000
gm2406234202707575986	121430.530000
gm7803899612907876827	14535.280000
gm4848834988506848283	15352.650000
gm8157932812572645033	14562.990000
gm9085899914097553707	44916.820000
gm1032012854667955802	15256.400000
gm4201440761169590951	16281.040000
gm5454682348070005588	33179.170000
gm6385967905180910975	15398.890000
gm7113280810644301910	29795.090000
gm4011199848193318780	14331.320000
gm673398644095540170	16391.410000
gm1988919826549806059	14224.960000
gm3667133331522690741	15646.320000
gm6990079726995102616	17461.940000
gm4656464470352713736	15253.250000
gm342702824459008790	31741.150000
gm4851542481076686960	15320.380000
gm7785208815095235914	16151.820000
gm7775899173489265311	90685.200000
gm8791698525782015727	14869.550000
gm7010039167073738593	16133.210000
gm1834691616817910014	15531.930000
gm2061847392464333234	107633.270000
gm3737708328065508478	14982.210000
gm2995702297666311223	16030.910000
gm4023563134474398461	16158.520000
gm3449710909151381902	15136.260000
gm7877359295707141274	16204.770000
gm5485793145080205340	15507.370000
gm7511656367272019758	16470.910000
gm191093374074819669	15088.060000
gm1253922037147789973	14600.900000
gm1996482101463949349	98600.970000
gm4248742217248348269	16193.080000
gm9132456931874769380	14776.130000
gm6729394279998695480	16241.960000
gm239932389274929495	16227.680000
gm295207983399167842	29875.530000
gm8387023872286126148	16588.000000
gm381019147530744406	16082.470000
gm6423824448915445826	15198.190000
gm5213543606657662578	16315.950000
gm3754127560842437950	15308.660000
gm1784324031986355327	15541.960000
gm1024111264049093872	15729.070000
gm6387081617102586680	30043.800000
gm8254981414425855921	15258.370000
gm5359220967419008256	14430.990000
gm8460476485445512784	15020.340000
gm2960776479201530092	15595.680000
gm3677164508415719046	17386.890000
gm4991243337102716184	17266.060000
gm1957746958844954161	16708.180000
gm957302304359731188	14494.300000
gm4592707694144559179	15047.580000
gm159626602533399918	30705.080000
gm7359459527533243499	16132.490000
gm7692907548223194212	47449.670000
gm1711604952066894245	16313.090000
gm1349016466157340512	16754.170000
gm7858076281016666576	16753.420000
gm7331761077391150086	14407.610000
gm7102811710777080038	15958.390000
gm6702337340530401450	16227.420000
gm7463016216639853304	29717.550000
gm5552573663070373834	15744.470000
gm5958932353555724297	14929.440000
gm7782943002965661609	14843.280000
gm5535294231932646777	33227.730000
gm5019094986873618364	30880.670000
gm5471351285759386502	14510.820000
gm368103284599504789	14882.360000
gm8402820537171785895	15981.500000
gm6537767091304474765	15664.010000
gm2842340523408345884	16006.660000
gm7526348281282541254	16441.550000
gm3551742187754811062	14780.990000
gm7688314026282548748	15707.100000
gm3834426639360400005	32764.430000
gm802281978179416068	30627.000000
gm2843497484115294329	30560.870000
gm1584869431661296163	14031.630000
